,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,waterfront,view,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,Age_of_House,Years_last_renovation,basement,distance_from_seattle,distance_from_bellevue,distance_from_a_city,distance_from_airport
1,6414100192,2014-12-09,538000.0,3,2.25,2570,7242,0.0,0.0,2170,400.0,1951,1991,98125,47.721000000000004,-122.319,1690,7639,69,29,True,12.61385588419633,15.150173554624777,12.61385588419633,30.859494354510073
2,5631500400,2015-02-25,180000.0,2,1.0,770,10000,0.0,0.0,770,0.0,1933,1933,98028,47.7379,-122.23299999999999,2720,8062,87,87,False,16.333282430203326,14.375821532122163,14.375821532122163,33.112378988238284
3,2487200875,2014-12-09,604000.0,4,3.0,1960,5000,0.0,0.0,1050,910.0,1965,1965,98136,47.5208,-122.39299999999999,1360,5000,55,55,True,10.617500616855502,17.522706076213524,10.617500616855502,10.988905482792724
4,1954400510,2015-02-18,510000.0,3,2.0,1680,8080,0.0,0.0,1680,0.0,1987,1987,98074,47.6168,-122.045,1800,7503,33,33,False,21.75952411040755,11.683885762102548,11.683885762102548,27.2309905771215
5,7237550310,2014-05-12,1230000.0,4,4.5,5420,101930,0.0,0.0,3890,1530.0,2001,2001,98053,47.6561,-122.005,4760,101930,19,19,True,25.295727445512572,15.508940452435843,15.508940452435843,32.44983740459641
6,1321400060,2014-06-27,257500.0,3,2.25,1715,6819,0.0,0.0,1715,0.0,1995,1995,98003,47.3097,-122.32700000000001,2238,6819,25,25,False,33.15574456389169,34.73468538880188,33.15574456389169,14.995397478092325
7,2008000270,2015-01-15,291850.0,3,1.5,1060,9711,0.0,0.0,1060,0.0,1963,1963,98198,47.4095,-122.315,1650,9711,57,57,False,22.111657900320857,23.915175233499227,22.111657900320857,3.9140539152960927
8,2414600126,2015-04-15,229500.0,3,1.0,1780,7470,0.0,0.0,1050,730.0,1960,1960,98146,47.5123,-122.337,1780,8113,60,60,True,10.6370061395067,14.942803361599676,10.6370061395067,8.088241678212142
9,3793500160,2015-03-12,323000.0,3,2.5,1890,6560,0.0,0.0,1890,0.0,2003,2003,98038,47.3684,-122.031,2390,7570,17,17,False,35.08107177658188,29.7555907932572,29.7555907932572,22.00233424584184
11,9212900260,2014-05-27,468000.0,2,1.0,1160,6000,0.0,0.0,860,300.0,1942,1942,98115,47.69,-122.292,1330,6000,78,78,True,9.666948176212326,11.181461715025186,9.666948176212326,27.396802694013317
12,114101516,2014-05-28,310000.0,3,1.0,1430,19901,0.0,0.0,1430,0.0,1927,1927,98028,47.7558,-122.229,1780,12697,93,93,False,18.24276226513135,16.298371625874267,16.298371625874267,35.12379691657593
13,6054650070,2014-10-07,400000.0,3,1.75,1370,9680,0.0,0.0,1370,0.0,1977,1977,98074,47.6127,-122.045,1370,10208,43,43,False,21.744694747585978,11.665382173460737,11.665382173460737,26.91133160076439
14,1175000570,2015-03-12,530000.0,5,2.0,1810,4850,0.0,0.0,1810,0.0,1900,1900,98107,47.67,-122.39399999999999,1360,4850,120,120,False,8.176458283777754,15.919263816924563,8.176458283777754,26.100169521690464
15,9297300055,2015-01-24,650000.0,4,3.0,2950,5000,0.0,3.0,1980,970.0,1979,1979,98126,47.5714,-122.375,2140,4000,41,41,True,5.046386519575963,13.764004722708627,5.046386519575963,15.237109738337711
16,1875500060,2014-07-31,395000.0,3,2.0,1890,14040,0.0,0.0,1890,0.0,1994,1994,98019,47.7277,-121.962,1890,14018,26,26,False,30.93130630852173,22.112963862461793,22.112963862461793,40.56109352783063
17,6865200140,2014-05-29,485000.0,4,1.0,1600,4300,0.0,0.0,1600,0.0,1916,1916,98103,47.6648,-122.34299999999999,1610,4300,104,104,False,6.3376612004701105,12.25334807344966,6.3376612004701105,24.781592849344023
18,16000397,2014-12-05,189000.0,2,1.0,1200,9850,0.0,0.0,1200,0.0,1921,1921,98002,47.3089,-122.21,1060,5095,99,99,False,34.54373657538033,33.50910036483159,33.50910036483159,16.47584605124603
19,7983200060,2015-04-24,230000.0,3,1.0,1250,9774,0.0,0.0,1250,0.0,1969,1969,98003,47.3343,-122.306,1280,8850,51,51,False,30.49519212802453,31.68284146773667,30.49519212802453,12.144366303766057
20,6300500875,2014-05-14,385000.0,4,1.75,1620,4980,0.0,0.0,860,760.0,1947,1947,98133,47.7025,-122.34100000000001,1400,4980,73,73,True,10.508952563509558,14.666929724818702,10.508952563509558,28.927046318572764
21,2524049179,2014-08-26,2000000.0,3,2.75,3050,44867,0.0,4.0,2330,720.0,1968,1968,98040,47.5316,-122.23299999999999,4110,20336,52,52,True,11.435877308728552,9.083464925914514,9.083464925914514,11.06022840799531
22,7137970340,2014-07-03,285000.0,5,2.5,2270,6300,0.0,0.0,2270,0.0,1995,1995,98092,47.3266,-122.169,2240,7005,25,25,False,33.671338282161514,31.624508462640588,31.624508462640588,16.38627415454961
24,3814700200,2014-11-20,329000.0,3,2.25,2450,6500,0.0,0.0,2450,0.0,1985,1985,98030,47.3739,-122.17200000000001,2200,6865,35,35,False,28.75641014199818,26.36670798302442,26.36670798302442,12.44916930732082
25,1202000200,2014-11-03,233000.0,3,2.0,1710,4697,0.0,0.0,1710,0.0,1941,1941,98002,47.3048,-122.21799999999999,1030,4705,79,79,False,34.82567315721613,33.98232784170204,33.98232784170204,16.654010365999223
26,1794500383,2014-06-26,937000.0,3,1.75,2450,2691,0.0,0.0,1750,700.0,1915,1915,98119,47.6386,-122.36,1760,3573,105,105,True,3.87460001639942,12.338103435092096,3.87460001639942,22.112818918268825
27,3303700376,2014-12-01,667000.0,3,1.0,1400,1581,0.0,0.0,1400,0.0,1909,1909,98112,47.6221,-122.314,1860,3861,111,111,False,2.228172584173658,8.58830867916056,2.228172584173658,19.863425808521402
28,5101402488,2014-06-24,438000.0,3,1.75,1520,6380,0.0,0.0,790,730.0,1948,1948,98115,47.695,-122.304,1520,6235,72,72,True,9.944014947558003,12.175801999491496,9.944014947558003,27.943405520494547
