,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,zipcode,Age_of_House,Years_last_renovation,basement,distance_from_a_city,distance_from_airport
1,2014-12-09,538000.0,3,2.25,2570,7242,2.0,0.0,0.0,3,7,98125,69,29,True,12.61385588419633,30.859494354510073
2,2015-02-25,180000.0,2,1.0,770,10000,1.0,0.0,0.0,3,6,98028,87,87,False,14.375821532122163,33.112378988238284
3,2014-12-09,604000.0,4,3.0,1960,5000,1.0,0.0,0.0,5,7,98136,55,55,True,10.617500616855502,10.988905482792726
4,2015-02-18,510000.0,3,2.0,1680,8080,1.0,0.0,0.0,3,8,98074,33,33,False,11.683885762102546,27.2309905771215
5,2014-05-12,1230000.0,4,4.5,5420,101930,1.0,0.0,0.0,3,11,98053,19,19,True,15.508940452435846,32.44983740459641
6,2014-06-27,257500.0,3,2.25,1715,6819,2.0,0.0,0.0,3,7,98003,25,25,False,33.155744563891695,14.995397478092325
7,2015-01-15,291850.0,3,1.5,1060,9711,1.0,0.0,0.0,3,7,98198,57,57,False,22.111657900320854,3.9140539152960927
8,2015-04-15,229500.0,3,1.0,1780,7470,1.0,0.0,0.0,3,7,98146,60,60,True,10.637006139506699,8.088241678212142
9,2015-03-12,323000.0,3,2.5,1890,6560,2.0,0.0,0.0,3,7,98038,17,17,False,29.7555907932572,22.00233424584184
11,2014-05-27,468000.0,2,1.0,1160,6000,1.0,0.0,0.0,4,7,98115,78,78,True,9.666948176212326,27.39680269401332
12,2014-05-28,310000.0,3,1.0,1430,19901,1.5,0.0,0.0,4,7,98028,93,93,False,16.298371625874267,35.12379691657593
13,2014-10-07,400000.0,3,1.75,1370,9680,1.0,0.0,0.0,4,7,98074,43,43,False,11.665382173460733,26.911331600764388
14,2015-03-12,530000.0,5,2.0,1810,4850,1.5,0.0,0.0,3,7,98107,120,120,False,8.176458283777754,26.100169521690464
15,2015-01-24,650000.0,4,3.0,2950,5000,2.0,0.0,3.0,3,9,98126,41,41,True,5.046386519575963,15.237109738337713
16,2014-07-31,395000.0,3,2.0,1890,14040,2.0,0.0,0.0,3,7,98019,26,26,False,22.112963862461797,40.561093527830636
17,2014-05-29,485000.0,4,1.0,1600,4300,1.5,0.0,0.0,4,7,98103,104,104,False,6.337661200470111,24.781592849344026
18,2014-12-05,189000.0,2,1.0,1200,9850,1.0,0.0,0.0,4,7,98002,99,99,False,33.50910036483159,16.47584605124603
19,2015-04-24,230000.0,3,1.0,1250,9774,1.0,0.0,0.0,4,7,98003,51,51,False,30.49519212802453,12.144366303766056
20,2014-05-14,385000.0,4,1.75,1620,4980,1.0,0.0,0.0,4,7,98133,73,73,True,10.508952563509556,28.927046318572764
21,2014-08-26,2000000.0,3,2.75,3050,44867,1.0,0.0,4.0,3,9,98040,52,52,True,9.083464925914514,11.060228407995309
