,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,zipcode,total_sqft,yr_sold,age,basement,distance_from_city,distance_from_airport
1,2014-12-09,538000.0,3,2.25,2570,7242,2.0,0.0,0,3.0,7.0,98125,9812,2014,69,1.0,12.61385588419633,30.859494354510073
3,2014-12-09,604000.0,4,3.0,1960,5000,1.0,0.0,0,5.0,7.0,98136,6960,2014,55,1.0,10.617500616855502,10.988905482792724
4,2015-02-18,510000.0,3,2.0,1680,8080,1.0,0.0,0,3.0,8.0,98074,9760,2015,33,0.0,21.75952411040755,27.2309905771215
6,2014-06-27,257500.0,3,2.25,1715,6819,2.0,0.0,0,3.0,7.0,98003,8534,2014,25,0.0,33.15574456389169,14.995397478092325
8,2015-04-15,229500.0,3,1.0,1780,7470,1.0,0.0,0,3.0,7.0,98146,9250,2015,60,1.0,10.6370061395067,8.088241678212142
9,2015-03-12,323000.0,3,2.5,1890,6560,2.0,0.0,0,3.0,7.0,98038,8450,2015,17,0.0,35.08107177658188,22.00233424584184
11,2014-05-27,468000.0,2,1.0,1160,6000,1.0,0.0,0,4.0,7.0,98115,7160,2014,78,1.0,9.666948176212326,27.396802694013317
13,2014-10-07,400000.0,3,1.75,1370,9680,1.0,0.0,0,4.0,7.0,98074,11050,2014,43,0.0,21.744694747585978,26.91133160076439
14,2015-03-12,530000.0,5,2.0,1810,4850,1.5,0.0,0,3.0,7.0,98107,6660,2015,120,0.0,8.176458283777754,26.100169521690464
15,2015-01-24,650000.0,4,3.0,2950,5000,2.0,0.0,3,3.0,9.0,98126,7950,2015,41,1.0,5.046386519575963,15.237109738337711
16,2014-07-31,395000.0,3,2.0,1890,14040,2.0,0.0,0,3.0,7.0,98019,15930,2014,26,0.0,30.931306308521727,40.56109352783063
17,2014-05-29,485000.0,4,1.0,1600,4300,1.5,0.0,0,4.0,7.0,98103,5900,2014,104,0.0,6.3376612004701105,24.781592849344023
18,2014-12-05,189000.0,2,1.0,1200,9850,1.0,0.0,0,4.0,7.0,98002,11050,2014,99,0.0,34.54373657538033,16.47584605124603
19,2015-04-24,230000.0,3,1.0,1250,9774,1.0,0.0,0,4.0,7.0,98003,11024,2015,51,0.0,30.49519212802453,12.144366303766057
20,2014-05-14,385000.0,4,1.75,1620,4980,1.0,0.0,0,4.0,7.0,98133,6600,2014,73,1.0,10.508952563509558,28.927046318572764
22,2014-07-03,285000.0,5,2.5,2270,6300,2.0,0.0,0,3.0,8.0,98092,8570,2014,25,0.0,33.671338282161514,16.38627415454961
24,2014-11-20,329000.0,3,2.25,2450,6500,2.0,0.0,0,4.0,8.0,98030,8950,2014,35,0.0,28.75641014199818,12.44916930732082
25,2014-11-03,233000.0,3,2.0,1710,4697,1.5,0.0,0,5.0,6.0,98002,6407,2014,79,0.0,34.82567315721613,16.654010365999223
27,2014-12-01,667000.0,3,1.0,1400,1581,1.5,0.0,0,5.0,8.0,98112,2981,2014,111,0.0,2.2281725841736577,19.863425808521402
29,2015-03-02,719000.0,4,2.5,2570,7173,2.0,0.0,0,3.0,8.0,98052,9743,2015,15,0.0,20.143892390126613,32.641986989506314
30,2014-11-10,580500.0,3,2.5,2320,3980,2.0,0.0,0,3.0,8.0,98027,6300,2014,17,0.0,21.30349646744951,20.3795460070423
31,2014-12-01,280000.0,2,1.5,1190,1265,3.0,0.0,0,3.0,7.0,98133,2455,2014,15,0.0,13.36712394862906,31.81486571013971
